year,start_date,end_date,champion_team_id
2011,10/26/10,4/13/11,7
2012,12/25/11,4/26/12,16
2013,10/30/12,4/17/13,16
2014,10/29/13,4/16/14,27
2015,10/28/14,4/15/15,10
2016,10/27/15,4/13/16,6
2017,10/26/16,4/12/17,10
2018,10/17/17,4/11/18,10
2019,10/16/18,4/10/19,28
2020,10/22/19,10/11/20,14
